Id,genome_size,contigs,n50,ST,Insertion,ompK36,ompK35,Source,Source_edited,Source_summarised,Host,Country,Year,resistance_genes,plasmids,Organism,Strain
GCF_000009885,5472672,2,5248520,23,,1,1,isolated from blood of a patient with,blood,blood,,,,"fosA,oqxA,oqxB,blaSHV-36","IncFIB(K),IncHI1B",Klebsiella pneumoniae subsp. pneumoniae,NTUH-K2044
GCF_000016305,5694894,6,5315120,38,,1,0,,,,,,,"strA,strB,aac(6')-Ib,aadA1,aph(3')-Ic,aadB,fosA,sul2,sul1,aac(6')Ib-cr,oqxA,oqxB,tet(D),blaSHV-12,blaSHV-11,blaOXA-9,blaTEM-1A,blaTEM-1B,cmlA1,catA1","IncFIB(pQil),IncR,IncFIB(K),IncFII(K),ColRNAI",Klebsiella pneumoniae subsp. pneumoniae MGH,ATCC 700721 - MGH 78578
GCF_000019565,5920257,3,5641239,146,,1,1,,,,,,,"fosA,oqxB,oqxA,blaLEN22,blaLEN22","IncQ2,IncFIA(HI1),IncFII,IncFIB(K)",Klebsiella pneumoniae 342,342
GCF_000163455,5450034,51,565138,67,,1,1,biological product [ENVO:02000043],,,Homo sapiens,,,"fosA,oqxA,oqxB,tet(C),blaSHV-1","ColRNAI,IncFII(Y)",Klebsiella pneumoniae subsp. rhinoscleromatis,ATCC 13884
GCF_000219945,5534249,118,141130,134,,1,1,,,,,,,"fosA,oqxB,oqxA,blaSHV-60","IncFIB(pKPHS1),IncFIB(K),ColRNAI",Klebsiella pneumoniae JH1,JH1
GCF_000219965,5535020,116,161835,133,,1,1,,,,,,,"aadA2,fosA,sul1,dfrA18,oqxA,oqxB,QnrA1,blaCARB-2,blaSHV-75,blaTEM-1A,cmlA1,catB3","IncFIB(K),IncA/C2,IncN",Klebsiella pneumoniae 1162281,1162281
GCF_000220485,5462423,2,5259571,375,,1,1,,,,,,,"fosA,oqxA,oqxB,blaSHV-99","IncFIB(K),IncHI1B",Klebsiella pneumoniae KCTC 2242,KCTC 2242
GCF_000223435,5687314,394,34170,395,,1,0,,,,Homo sapiens,Netherlands,2011,"aac(6')Ib-cr,aadA2,aac(3)-IIa,aph(3')-Ia,fosA,mph(A),sul1,dfrA1,aac(6')Ib-cr,oqxA,oqxB,QnrS1,tet(A),blaOXA-48,blaCTX-M-15,blaTEM-1B,blaOXA-1,blaSHV-11,catB3,catA1","Col(MGD2),IncR,IncFII(K),ColRNAI,IncL/M(pOXA-48),IncFIB(K)",Klebsiella pneumoniae 1191100241,1191100241
GCF_000240185,5682322,7,5333942,11,,1,1,,,,,,,"rmtB,aadA2,aac(3)-IId,strB,strA,fosA,sul1,sul2,dfrA12,tet(G),blaKPC-2,blaSHV-11,blaTEM-1B,blaCTX-M-14,blaTEM-1B,blaTEM-1B,blaCTX-M-14","Col156,IncR,IncFII(K),IncFIB(pKPHS1),IncA/C2,Col(KPHS6)",Klebsiella pneumoniae subsp. pneumoniae,HS11286
GCF_000255975,5791462,6,5337335,48,,1,1,pneumonia patient,pneumonia,other,Homo sapiens,,,"aadB,aph(3')-Ic,aadA2,aadA2,aadA1,fosA,sul1,oqxB,oqxA,tet(B),blaTEM-1B,blaLEN12,blaTEM-1B,catA1,cmlA1","IncFIB(K),IncFII,IncA/C2,ColRNAI",Klebsiella pneumoniae subsp. pneumoniae,LCT-KP214
GCF_000263095,5431750,196,118550,1222,,1,1,soil,soil,environment,,China,2010,"fosA,oqxB,oqxA,blaSHV-11","Col(MGD2),ColE10,IncFIB(Mar),IncHI1B,ColRNAI",Klebsiella pneumoniae subsp. pneumoniae LZ,LZ
GCF_000281255,5724800,147,154879,258,GD,1,0,wound,wound,other,Homo sapiens,USA,2011,"aadA2,aac(6')-Ib,aph(3')-Ia,fosA,mph(A),sul1,dfrA12,aac(6')Ib-cr,oqxA,oqxB,blaSHV-11,blaTEM-1A,blaOXA-9,blaKPC-3,catA1","IncFIB(K),IncFIB(pQil),IncFII(K),ColRNAI",Klebsiella pneumoniae subsp. pneumoniae KPNIH2,KPNIH2
GCF_000281275,5716297,168,126254,258,GD,1,0,peritoneal fluid,peritoneal fluid,other,Homo sapiens,USA,2011,"aadA2,aac(6')-Ib,aph(3')-Ia,fosA,mph(A),sul1,dfrA12,oqxB,aac(6')Ib-cr,oqxA,blaTEM-1A,blaOXA-9,blaSHV-11,blaKPC-3,catA1","IncFIB(pQil),IncFIB(K),IncFII(K),ColRNAI",Klebsiella pneumoniae subsp. pneumoniae KPNIH5,KPNIH5
GCF_000281295,5714943,149,130041,258,GD,1,0,peritoneal fluid,peritoneal fluid,other,Homo sapiens,USA,2011,"aadA2,aac(6')-Ib,aph(3')-Ia,fosA,mph(A),sul1,dfrA12,oqxB,oqxA,aac(6')Ib-cr,blaTEM-1A,blaOXA-9,blaSHV-11,blaKPC-3,catA1","IncFIB(K),IncFIB(pQil),IncFII(K),ColRNAI",Klebsiella pneumoniae subsp. pneumoniae KPNIH6,KPNIH6
